"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.96 alpha:0.5,"TM (z:1.96,a:0.5,(0.1, 15))",3.5497,1.062,0.0,0.0
MG:-1 Var:1,z:1.96 alpha:0.5,"TM (z:1.96,a:0.5,(0.1, 20))",3.9323,1.4082,1.0,1.7321
MG:-1 Var:1,z:1.96 alpha:0.5,"TM (z:1.96,a:0.5,(0.15, 10))",2.8103,0.5632,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"TM (z:1.96,a:0.5,(0.15, 15))",3.5317,1.1493,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.1, 10))",2.8982,0.5612,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.1, 15))",3.5338,1.014,0.0,0.0
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.1, 20))",3.9131,1.3817,1.3333,2.3094
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.15, 10))",2.8982,0.5612,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.15, 15))",3.526,1.0525,0.3333,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.15, 20))",3.9631,1.474,1.3333,2.3094
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.2, 10))",2.8584,0.5718,0.6667,0.5774
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.2, 15))",3.4901,1.0339,0.0,0.0
MG:-1 Var:1,z:1.96 alpha:0.5,"WM (z:1.96,a:0.5,(0.2, 20))",3.9871,1.5506,0.0,0.0
MG:-1 Var:1,z:1.96 alpha:0.75,"CTM (z:1.96,a:0.75,(0.1, 10))",11.4816,5.0938,5.3333,6.1101
MG:-1 Var:1,z:1.96 alpha:0.75,"CTM (z:1.96,a:0.75,(0.1, 15))",14.4535,6.9189,5.3333,7.5056
MG:-1 Var:1,z:1.96 alpha:0.75,"CTM (z:1.96,a:0.75,(0.1, 20))",38.3591,28.9736,6.0,7.9373
